"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Diastolic BP",0.0146,0,0.1716,0.05,0.0142,0.31,-2.73972602739726,-8.9041095890411,2.73972602739726,0.1722,0.0181,0.105110336817654,0.05,0.0153,0.5077,4.10958904109589,-8.9041095890411,17.8082191780822,0.1701,0.0269,0.0083,6.32342007434944,20.4939759036145,0.05,0.5
"Eosinophill count",0.0205,0,0.2332,0.01,0.0203,0.383,-0.48780487804878,-1.95121951219512,0.48780487804878,0.2334,0.0068,0.0291345329905741,0.01,0.0192,0.0374,-6.34146341463415,-12.6829268292683,-0.48780487804878,0.233,0.0164,0.0032,14.2073170731707,72.8125,0.01,0.01
"FEV1 FVC ratio",NA,NA,0.2479,0.05,NA,NA,NA,NA,NA,0.2477,0.0214,0.0863948324586193,0.05,NA,NA,NA,NA,NA,0.2477,0.0131,-0.0057,18.9083969465649,-43.4561403508772,0.05,0.005
"Gamma glutamyltrans",0.0351,0,0.1748,1e-04,0.0349,0.6009,-0.56980056980057,-2.56410256410256,1.42450142450142,0.1746,-0.0088,-0.0504009163802978,1e-04,0.0375,0.091,6.83760683760684,-0.854700854700855,18.8034188034188,0.1669,-0.0132,-0.0236,-12.6439393939394,-7.07203389830508,1e-04,1e-06
"Glucose",0.0081,0,0.0976,1e-08,0.0079,0.4862,-1.23456790123457,-6.17283950617284,3.7037037037037,0.0975,-0.0064,-0.0656410256410256,1e-08,0.0069,0.0218,-13.5802469135802,-28.3950617283951,-1.23456790123457,0.0979,-0.0035,-0.0128,-27.9714285714286,-7.6484375,1e-08,0.01
"HbA1c",0.0247,0,0.1966,0.01,0.0253,0.2312,2.42914979757085,-1.61943319838057,6.47773279352227,0.1961,-0.0186,-0.0948495665476797,0.01,0.0248,0.9091,0.404858299595142,-5.26315789473684,6.88259109311741,0.1944,-0.0159,-0.0333,-12.2264150943396,-5.83783783783784,0.01,1e-08
"HbA1c 0",0.03,0,0.2422,0.01,0.0305,0.12,1.33333333333333,-0.333333333333333,3.33333333333333,0.2419,-0.0117,-0.0483670938404299,0.01,0.0304,0.7673,1.33333333333333,-7,9.33333333333333,0.2456,-0.0235,-0.039,-10.4510638297872,-6.2974358974359,0.01,1e-06
"HDL",0.0459,0,0.2968,0.01,0.0459,0.9357,0,-1.08932461873638,1.30718954248366,0.2965,-0.0097,-0.0327150084317032,0.01,0.046,0.8281,0.217864923747277,-2.17864923747277,2.61437908496732,0.2968,-0.0041,0.0104,-72.390243902439,28.5384615384615,0.01,1e-06
"HDL 0",0.0567,0,0.3042,0.01,0.0565,0.6335,-0.17636684303351,-0.881834215167548,0.529100529100529,0.304,-0.0073,-0.0240131578947368,0.01,0.0569,0.4494,0.352733686067019,-0.705467372134039,1.41093474426808,0.3044,0.004,0.0074,76.1,41.1351351351351,0.01,0.005
"BMD Heel T-score",0.0557,0,0.2967,1e-04,0.0549,0.051,-1.43626570915619,-3.05206463195691,0,0.2964,-0.011,-0.0371120107962213,1e-04,0.0555,0.7905,-0.359066427289048,-2.69299820466786,2.15439856373429,0.2944,0.002,-0.0161,147.2,-18.2857142857143,1e-04,1e-06
"Height",0.0822,0,0.3432,0.01,0.0821,0.5849,-0.121654501216545,-0.48661800486618,0.24330900243309,0.3433,0.0057,0.0166035537430819,0.01,0.0823,0.6753,0.121654501216545,-0.608272506082725,0.97323600973236,0.3432,0.0033,0.0065,104,52.8,0.01,1e-04
"Height 0",0.0821,0,0.3427,0.01,0.0821,0.5951,0,-0.243605359317905,0.121802679658952,0.3427,0.003,0.00875401225561716,0.01,0.0824,0.1696,0.243605359317905,-0.121802679658952,0.730816077953715,0.3427,-8e-04,0.005,-428.375,68.54,0.01,0.01
"Hip circumference",0.0156,0,0.2704,0.1,0.0154,0.2962,-1.28205128205128,-4.48717948717949,1.28205128205128,0.2708,0.0141,0.0520679468242245,0.1,0.0157,0.6017,1.28205128205128,-2.56410256410256,4.48717948717949,0.2702,0.0112,-0.0063,24.125,-42.8888888888889,0.1,0.5
"IGF-1",0.0486,0,0.2973,0.01,0.0488,0.2668,0.205761316872428,-0.205761316872428,0.823045267489712,0.2974,0.0051,0.0171486213853396,0.01,0.0482,0.2784,-1.02880658436214,-2.67489711934156,0.823045267489712,0.2975,-0.0097,-0.002,-30.6701030927835,-148.75,0.01,0.001
"LDL",0.0353,0,0.2772,1e-04,0.0355,0.8257,0.56657223796034,-5.09915014164306,6.23229461756374,0.2787,0.0451,0.161822748475063,1e-04,0.0596,2e-04,68.8385269121813,45.8923512747875,94.0509915014164,0.2187,0.0911,0.0599,2.4006586169045,3.65108514190317,1e-04,1e-08
"LDL 0",0.0366,0,0.2709,1e-04,0.0368,0.8617,0.546448087431694,-6.01092896174863,6.83060109289618,0.2727,0.0499,0.182984965163183,1e-04,0.0654,2e-04,78.9617486338798,51.6393442622951,107.377049180328,0.2068,0.0985,0.0588,2.0994923857868,3.51700680272109,1e-04,1e-10
"Leukocyte count",0.0231,0,0.2182,0.1,0.0229,0.286,-0.865800865800866,-2.5974025974026,0.865800865800866,0.2185,0.0095,0.0434782608695652,0.1,0.0235,0.4084,1.73160173160173,-2.16450216450216,5.62770562770563,0.2188,0.0089,0.0106,24.5842696629213,20.6415094339623,0.1,0.1
"Lipoprotein a",0.0225,0,0.6928,1e-10,0.0224,0.2928,-0.444444444444444,-0.888888888888889,0.444444444444444,0.6929,-0.0079,-0.0114013566171165,1e-10,0.0227,0.7425,1.33333333333333,-0.888888888888889,4.88888888888889,0.6037,-0.1054,-0.1524,-5.72770398481974,-3.96128608923885,1e-10,1e-10
"Lipoprotein a 0",0.0476,0,0.6586,1e-08,0.0477,0.0482,0.210084033613445,0,0.420168067226891,0.6586,0.0045,0.00683267537200121,1e-08,0.0488,0.026,2.52100840336134,0.420168067226891,5.04201680672269,0.6563,0.0241,0.0201,27.2323651452282,32.6517412935323,1e-08,1e-04
"Lymphocyte count",0.0082,0,0.1296,0.05,0.0082,0.6487,0,-1.21951219512195,1.21951219512195,0.1296,0.0021,0.0162037037037037,0.05,0.0097,0.0632,18.2926829268293,-1.21951219512195,40.2439024390244,0.1353,0.0174,0.0197,7.77586206896552,6.86802030456853,0.05,0.05
"Mean corpuscular volume",0.0259,0,0.3374,0.01,0.0258,0.2458,0,-0.386100386100386,0,0.3373,-0.0025,-0.00741179958493922,0.01,0.0256,0.5131,-1.15830115830116,-5.01930501930502,2.31660231660232,0.3375,0.0156,-0.0027,21.6346153846154,-125,0.01,0.05
"Monocyte count",0.0199,0,0.2133,0.005,0.0198,0.0968,-0.50251256281407,-1.00502512562814,0,0.2133,-0.0029,-0.013595874355368,0.005,0.0194,0.3978,-2.51256281407035,-8.04020100502512,3.01507537688442,0.2142,-0.0038,-0.0236,-56.3684210526316,-9.07627118644068,0.005,0.5
"Neutrophill count",0.0314,0,0.2174,0.01,0.0311,0.12,-0.955414012738854,-2.22929936305733,0.318471337579618,0.2175,0.0078,0.0358620689655172,0.01,0.0308,0.2854,-1.59235668789809,-4.77707006369427,1.59235668789809,0.2174,0.0085,-0.0099,25.5764705882353,-21.959595959596,0.01,0.01
"Phosphate",0.0234,0,0.2083,0.001,0.0234,0.8681,0,-1.28205128205128,0.854700854700855,0.2082,-0.0045,-0.0216138328530259,0.001,0.0234,0.9299,0.427350427350427,-5.55555555555556,5.98290598290598,0.2081,0.013,-0.0108,16.0076923076923,-19.2685185185185,0.001,0.005
"Platelet count",0.0584,0,0.3438,0.005,0.0589,0.1708,0.684931506849315,-0.342465753424658,1.88356164383562,0.3441,0.0136,0.039523394362104,0.005,0.0584,0.9891,0,-1.02739726027397,1.02739726027397,0.3443,-1e-04,-0.0138,-3443,-24.9492753623188,0.005,0.5
"Platelet volume",0.1024,0,0.4643,0.001,0.1025,0.0116,0.1953125,0,0.29296875,0.4644,0.0033,0.00710594315245478,0.001,0.1017,0.0588,-0.68359375,-1.3671875,0,0.4643,-0.0049,-0.0109,-94.7551020408163,-42.5963302752294,0.001,0.005
"Potassium urine",0,0.9397,0.0573,0.1,0,0.9749,NA,-Inf,Inf,0.0574,0.0021,0.0365853658536585,0.1,0,0.9611,NA,-Inf,Inf,0.0578,-0.0011,-0.0122,-52.5454545454545,-4.73770491803279,0.1,0.1
"Protein",0.0224,0,0.2285,0.01,0.0224,0.6857,0,0,0,0.2285,3e-04,0.00131291028446389,0.01,0.0223,0.7007,-0.446428571428572,-3.57142857142857,2.67857142857143,0.2286,0.0079,0.0056,28.9367088607595,40.8214285714286,0.01,0.001
"Pulse rate",0.0105,3e-04,0.1573,0.001,0.0111,0.2462,4.76190476190476,-3.80952380952381,15.2380952380952,0.1575,0.0167,0.106031746031746,0.001,0.0109,0.4334,2.85714285714286,-4.76190476190476,11.4285714285714,0.1574,-0.0053,0.0175,-29.6981132075472,8.99428571428571,0.001,1e-04
"RBC",0.0433,0,0.2746,0.005,0.0433,0.303,-0.23094688221709,-0.46189376443418,0.23094688221709,0.2745,-0.0023,-0.00837887067395264,0.005,0.0433,0.9719,0,-2.07852193995381,2.07852193995381,0.2754,0.012,0.0065,22.95,42.3692307692308,0.005,0.5
