"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Diastolic BP",0.0029,0,0.1757,0.05,0.0029,0.8621,0,-10.3448275862069,10.3448275862069,0.1757,-0.0471,-0.268070574843483,0.05,0.003,0.7089,3.44827586206897,-10.3448275862069,13.7931034482759,0.1748,0.0083,-0.0223,21.0602409638554,-7.83856502242153,0.05,0.5
"Eosinophill count",0.0054,0,0.2331,0.01,0.0054,0.9725,0,-3.7037037037037,3.7037037037037,0.2332,0.0288,0.123499142367067,0.01,0.0055,0.2404,1.85185185185185,-1.85185185185185,5.55555555555555,0.2332,-0.0055,-0.0096,-42.4,-24.2916666666667,0.01,1e-06
"FEV1 FVC ratio",NA,NA,0.2479,0.05,NA,NA,NA,NA,NA,0.2475,-0.0224,-0.0905050505050505,0.05,NA,NA,NA,NA,NA,0.2479,0.0133,-0.0013,18.6390977443609,-190.692307692308,0.05,0.001
"Gamma glutamyltrans",0.004,0,0.1733,1e-04,0.0041,0.436,0,-2.5,5,0.1733,0.0159,0.0917484131563762,1e-04,0.004,0.9985,0,-10,10,0.1672,0.0179,0.0159,9.34078212290503,10.5157232704403,1e-04,1e-08
"Glucose",0.0012,0.0061,0.0886,1e-08,9e-04,0.5109,-25,-83.3333333333333,75,0.0892,0.0955,1.07062780269058,1e-08,8e-04,0.5487,-25,-116.666666666667,83.3333333333333,0.0916,0.0396,-0.0245,2.31313131313131,-3.73877551020408,1e-08,1e-10
"HbA1c",0.0044,0,0.1873,0.01,0.0054,0.1798,22.7272727272727,-9.09090909090909,70.4545454545455,0.1885,0.1412,0.749071618037135,0.01,0.0042,0.7951,-4.54545454545455,-34.0909090909091,29.5454545454545,0.1852,0.0444,-0.0095,4.17117117117117,-19.4947368421053,0.01,1e-10
"HbA1c 0",0.0072,0,0.2332,0.01,0.0072,0.9449,0,-12.5,15.2777777777778,0.2341,0.1018,0.434856898761213,0.01,0.0084,0.0714,16.6666666666667,-1.38888888888889,37.5,0.2304,0.0461,-0.0018,4.99783080260304,-128,0.01,1e-10
"HDL",0.0317,0,0.2935,0.01,0.0316,0.7405,-0.315457413249211,-1.26182965299685,0.946372239747634,0.2937,-0.031,-0.10554988083078,0.01,0.0415,2e-04,30.9148264984227,18.9274447949527,43.5331230283912,0.279,-0.0275,-0.0725,-10.1454545454545,-3.84827586206897,0.01,1e-06
"HDL 0",0.0327,0,0.2981,0.01,0.0327,0.6823,0,0,0,0.2981,-0.0031,-0.0103991949010399,0.01,0.0335,0.0206,2.44648318042813,0.305810397553517,4.89296636085627,0.2976,-0.0054,-0.0152,-55.1111111111111,-19.578947368421,0.01,1e-06
"BMD Heel T-score",0.012,0,0.2958,1e-04,0.012,0.9251,0,-1.66666666666667,1.66666666666667,0.2959,0.0166,0.0561000337952011,1e-04,0.0115,0.1114,-4.16666666666667,-9.16666666666667,0.833333333333333,0.2959,0.0073,-0.0152,40.5342465753425,-19.4671052631579,1e-04,0.001
"Height",0.037,0,0.3422,0.01,0.037,0.9193,0,-0.27027027027027,0.27027027027027,0.3422,0.0058,0.0169491525423729,0.01,0.0368,0.144,-0.540540540540541,-1.08108108108108,0.27027027027027,0.3422,-9e-04,0.0056,-380.222222222222,61.1071428571429,0.01,0.001
"Height 0",0.0363,0,0.3426,0.01,0.0363,0.7747,0,-0.275482093663912,0,0.3426,0.0044,0.0128429655575015,0.01,0.0364,0.3234,0.275482093663912,-0.275482093663912,0.550964187327824,0.3426,0.0046,-7e-04,74.4782608695652,-489.428571428571,0.01,0.05
