"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1","c_effect","pgs_gxc_cor","PGS_pv_ols"
"Creatinine",0.0241,0,0.1529,0.01,0.0237,0.217,-1.6597510373444,-3.7344398340249,0.829875518672199,0.1527,0.0248,0.162409954158481,0.01,0.0245,0.2896,1.6597510373444,-1.2448132780083,4.9792531120332,0.151,0.0266,0.0068,5.67669172932331,22.2058823529412,0.01,1e-08,0.467619491440954,0.0653295129525762,2.48141747985853e-128
"Creatinine urine",0.0072,0,0.078,0.5,0.0073,0.4348,2.77777777777778,-2.77777777777778,8.33333333333333,0.0778,0.0165,0.212082262210797,0.5,0.0075,0.183,4.16666666666667,-1.38888888888889,9.72222222222222,0.0802,0.0034,-0.0145,23.5882352941176,-5.53103448275862,0.5,0.5,0.344294126722417,0.186108650122304,8.5850920464646e-40
"Cystatin C",0.0514,0,0.2301,0.01,0.0514,0.9839,0,0,0,0.2302,-0.0018,-0.00781928757602085,0.01,0.0512,0.1076,-0.389105058365759,-0.778210116731518,0,0.2302,0.0055,-0.0061,41.8545454545455,-37.7377049180328,0.01,1e-04,0.185032421738791,0.00593161804332969,7.52376248699995e-275
"Diastolic BP",0.0306,0,0.1722,0.05,0.0311,0.0274,1.96078431372549,0.326797385620915,3.26797385620915,0.1724,-0.0212,-0.122969837587007,0.05,0.0307,0.5589,0.326797385620915,-0.980392156862745,1.96078431372549,0.1719,0.0099,-0.0131,17.3636363636364,-13.1221374045802,0.05,0.1,0.16216913843198,-0.044169651198444,8.85229190597882e-163
"Eosinophill count",0.053,0,0.2329,0.01,0.0531,0.7495,0.188679245283019,-1.13207547169811,1.50943396226415,0.2326,0.0275,0.11822871883061,0.01,0.0539,0.0162,1.69811320754717,0.377358490566038,3.20754716981132,0.2417,-0.0232,-0.0242,-10.4181034482759,-9.98760330578512,0.01,0.001,0.0985889106246969,0.22263227679416,4.32156834984772e-288
"FEV1 FVC ratio",0.0465,0,0.2476,0.01,0.0469,0.0684,0.860215053763441,0,1.93548387096774,0.2481,0.0207,0.0834340991535671,0.01,0.0462,0.1564,-0.64516129032258,-1.50537634408602,0.21505376344086,0.2473,0.0122,0.0105,20.2704918032787,23.552380952381,0.01,1e-04,-0.0401696147031171,0.0333069569015901,4.58947061027732e-205
"Gamma glutamyltrans",0.0253,0,0.1751,1e-04,0.0259,0.108,2.37154150197628,-0.395256916996047,5.53359683794466,0.1749,0.031,0.17724413950829,1e-04,0.026,0.0974,2.37154150197628,-0.395256916996047,5.53359683794466,0.1692,0.0271,0.0049,6.24354243542435,34.530612244898,1e-04,1e-10,0.194437550565579,0.27039558487816,1.23473372554244e-134
"Glucose",0.0098,0,0.0997,1e-08,0.0099,0.8685,0,-3.06122448979592,4.08163265306122,0.0994,0.0157,0.1579476861167,1e-08,0.0099,0.4072,1.02040816326531,-1.02040816326531,2.04081632653061,0.0998,-0.0073,-0.0019,-13.6712328767123,-52.5263157894737,1e-08,1e-06,0.0406865304092394,0.00231637169051633,9.65090553130905e-49
"HbA1c",0.0406,0,0.1976,0.01,0.0406,0.8311,-0.246305418719212,-1.97044334975369,1.72413793103448,0.1975,0.0276,0.139746835443038,0.01,0.0434,6e-04,6.65024630541872,2.95566502463054,10.5911330049261,0.1906,0.0423,0.0393,4.50591016548463,4.8498727735369,0.01,1e-06,0.0545776028120318,0.120436032888283,1.33713855417165e-216
"HbA1c 0",0.0643,0,0.2439,0.01,0.0646,0.352,0.46656298600311,-0.46656298600311,1.39968895800933,0.2437,0.0254,0.104226508001641,0.01,0.07,2e-04,8.8646967340591,5.59875583203733,12.2861586314152,0.232,0.0615,0.0544,3.77235772357724,4.26470588235294,0.01,1e-10,0.0522248912455749,0.156413253487181,0
