"Phenotype","PGS_R2","PGS_pv","PGS_w0","PGS_tau0","ampPGS_R2","ampPGS_pv","ampPGS_R2pChange","ampPGS_CI25","ampPGS_CI75","ampPGS_w0a","ampPGS_w0b","ampPGS_rho","ampPGS_tau0","PGSC_R2","PGSC_pv","PGSC_R2pChange","PGSC_CI25","PGSC_CI75","PGSC_w0","PGSC_w1a","PGSC_w1b","PGSC_rho1a","PGSC_rho1b","PGSC_tau0","PGSC_tau1"
"Diastolic BP",0.0138,0,0.1722,0.05,0.0138,0.9691,0,-6.52173913043478,7.2463768115942,0.1724,-0.0212,-0.122969837587007,0.05,0.014,0.6331,1.44927536231884,-5.07246376811594,8.69565217391304,0.1719,0.0099,-0.0131,17.3636363636364,-13.1221374045802,0.05,0.1
"Eosinophil count",0.0209,0,0.2329,0.01,0.0207,0.7289,-0.956937799043062,-6.69856459330144,4.78468899521531,0.2326,0.0275,0.11822871883061,0.01,0.0197,0.187,-5.74162679425837,-15.311004784689,2.87081339712919,0.2417,-0.0232,-0.0242,-10.4181034482759,-9.98760330578512,0.01,0.001
"FEV1/FVC ratio",NA,NA,0.2476,0.01,NA,NA,NA,NA,NA,0.2481,0.0207,0.0834340991535671,0.01,NA,NA,NA,NA,NA,0.2473,0.0122,0.0105,20.2704918032787,23.552380952381,0.01,1e-04
"Gamma glutamyltransferase",0.0361,0,0.1751,1e-04,0.0401,0.0012,11.0803324099723,3.32409972299169,23.8227146814404,0.1749,0.031,0.17724413950829,1e-04,0.0376,0.2382,4.15512465373961,-2.49307479224377,12.7423822714681,0.1692,0.0271,0.0049,6.24354243542435,34.530612244898,1e-04,1e-10
"Glucose",0.0077,1e-04,0.0997,1e-08,0.0074,0.5749,-3.8961038961039,-16.8831168831169,9.09090909090909,0.0994,0.0157,0.1579476861167,1e-08,0.0067,0.2514,-12.987012987013,-42.8571428571429,7.79220779220779,0.0998,-0.0073,-0.0019,-13.6712328767123,-52.5263157894737,1e-08,1e-06
"HbA1c",0.0262,0,0.1976,0.01,0.0263,0.8995,0.381679389312977,-6.10687022900763,7.63358778625954,0.1975,0.0276,0.139746835443038,0.01,0.0249,0.5131,-4.58015267175572,-17.9389312977099,9.9236641221374,0.1906,0.0423,0.0393,4.50591016548463,4.8498727735369,0.01,1e-06
"HbA1c 0",0.0387,0,0.2439,0.01,0.0379,0.324,-2.0671834625323,-5.94315245478036,2.0671834625323,0.2437,0.0254,0.104226508001641,0.01,0.0399,0.5485,3.10077519379845,-5.68475452196382,13.1782945736434,0.232,0.0615,0.0544,3.77235772357724,4.26470588235294,0.01,1e-10
"HDL",0.0469,0,0.2961,0.01,0.0482,0.1202,2.77185501066098,-0.639658848614073,6.39658848614073,0.2969,-0.0325,-0.109464466150219,0.01,0.0587,0.0042,25.1599147121535,8.10234541577825,43.4968017057569,0.2758,-0.0332,-0.0865,-8.30722891566265,-3.18843930635838,0.01,1e-06
"HDL 0",0.0554,0,0.3048,0.01,0.0554,0.8017,0,-0.36101083032491,0.36101083032491,0.3047,0.0037,0.0121430915654742,0.01,0.0564,0.474,1.80505415162455,-3.24909747292419,6.85920577617329,0.3034,-0.0029,-0.0267,-104.620689655172,-11.3632958801498,0.01,1e-06
"BMD Heel T-score",0.059,0,0.2962,1e-04,0.0595,0.4924,0.847457627118644,-1.52542372881356,3.05084745762712,0.2963,0.017,0.0573742828214647,1e-04,0.0617,0.037,4.57627118644068,0.169491525423729,8.8135593220339,0.295,0.0259,-8e-04,11.3899613899614,-368.75,1e-04,0.5
